x,y
-3.14159265358979,-1.225819
-3.14159265358979,-1.211593
-3.14159265358979,-1.210425
-3.14159265358979,-1.198664
-3.14159265358979,-1.191647
-3.14159265358979,-1.163187
-3.14159265358979,-1.157368
-3.14159265358979,-1.154498
-3.14159265358979,-1.146473
-3.14159265358979,-1.139603
-3.14159265358979,-1.136601
-3.14159265358979,-1.135913
-3.14159265358979,-1.135526
-3.14159265358979,-1.135071
-3.14159265358979,-1.133525
-3.14159265358979,-1.127617
-3.14159265358979,-1.125629
-3.14159265358979,-1.118969
-3.14159265358979,-1.117158
-3.14159265358979,-1.116693
-3.14159265358979,-1.112372
-3.14159265358979,-1.111265
-3.14159265358979,-1.110187
-3.14159265358979,-1.108213
-3.14159265358979,-1.108181
-3.14159265358979,-1.103366
-3.14159265358979,-1.102915
-3.14159265358979,-1.099683
-3.14159265358979,-1.096206
-3.14159265358979,-1.094195
-3.14159265358979,-1.093538
-3.14159265358979,-1.089555
-3.14159265358979,-1.087765
-3.14159265358979,-1.085002
-3.14159265358979,-1.083196
-3.14159265358979,-1.081214
-3.14159265358979,-1.079734
-3.14159265358979,-1.078748
-3.14159265358979,-1.077516
-3.14159265358979,-1.075603
-3.14159265358979,-1.075309
-3.14159265358979,-1.073559
-3.14159265358979,-1.06828
-3.14159265358979,-1.06773
-3.14159265358979,-1.056605
-3.14159265358979,-0.9948644
-3.14159265358979,-0.9794182
-3.14159265358979,2.002962
-3.14159265358979,2.011798
-3.14159265358979,2.013253
-3.14159265358979,2.016473
-3.14159265358979,2.208495
-3.14159265358979,2.220683
-3.14159265358979,2.226706
-3.14159265358979,2.233362
-3.14159265358979,2.308
-3.14159265358979,2.316312
-3.14159265358979,2.318627
-3.14159265358979,2.331056
-3.14159265358979,2.438005
-3.14159265358979,2.446797
-3.14159265358979,2.448989
-3.14159265358979,2.453758
-3.14159265358979,2.569511
-3.14159265358979,2.590858
-3.14159265358979,2.593156
-3.14159265358979,2.617188
-3.14159265358979,2.632446
-3.14159265358979,2.637972
-3.14159265358979,2.659527
-3.14159265358979,2.668971
-3.14159265358979,2.689266
-3.14159265358979,2.693289
-3.14159265358979,2.700633
-3.14159265358979,2.709159
-3.14159265358979,2.813735
-3.14159265358979,2.824265
-3.14159265358979,2.827743
-3.14159265358979,2.849834
-3.14159265358979,2.881824
-3.14159265358979,2.901657
-3.14159265358979,2.90552
-3.14159265358979,2.911975
-3.14159265358979,2.920251
-3.14159265358979,2.940435
-3.14159265358979,2.941812
-3.14159265358979,2.948706
-3.14159265358979,2.955692
-3.14159265358979,2.959703
-3.14159265358979,2.965657
-3.14159265358979,2.969953
-3.14159265358979,3.045133
-3.14159265358979,3.046593
-3.14159265358979,3.048296
-3.14159265358979,3.04955
