x,y
-3.14159265358979,-8.355236
-3.14159265358979,-8.311629
-3.14159265358979,-8.034127
-3.14159265358979,-7.271063
-3.14159265358979,-7.226375
-3.14159265358979,-7.20239
-3.14159265358979,-7.110304
-3.14159265358979,-7.10326
-3.14159265358979,-6.700658
-3.14159265358979,-6.662992
-3.14159265358979,-6.48175
-3.14159265358979,-6.364053
-3.14159265358979,-6.352845
-3.14159265358979,-6.249952
-3.14159265358979,-5.905818
-3.14159265358979,-5.889514
-3.14159265358979,-5.804215
-3.14159265358979,-5.699267
-3.14159265358979,-3.589784
-3.14159265358979,-3.501256
-3.14159265358979,-3.494595
-3.14159265358979,-3.337639
-3.14159265358979,-3.217152
-3.14159265358979,-3.191223
-3.14159265358979,-3.134386
-3.14159265358979,-3.103113
-3.14159265358979,-2.992723
-3.14159265358979,-2.860257
-3.14159265358979,-2.780046
-3.14159265358979,-2.71281
-3.14159265358979,-2.70303
-3.14159265358979,-2.530262
-3.14159265358979,-2.506685
-3.14159265358979,-2.474151
-3.14159265358979,-2.10904
-3.14159265358979,-2.093857
-3.14159265358979,-2.054528
-3.14159265358979,-1.8133
-3.14159265358979,-1.597095
-3.14159265358979,-1.440405
-3.14159265358979,-1.437167
-3.14159265358979,-1.426083
-3.14159265358979,-1.276833
-3.14159265358979,2.608699
-3.14159265358979,2.625471
-3.14159265358979,2.74776
-3.14159265358979,2.760527
-3.14159265358979,2.775113
-3.14159265358979,2.776048
-3.14159265358979,3.080876
-3.14159265358979,3.093938
-3.14159265358979,3.128181
-3.14159265358979,3.131282
-3.14159265358979,3.239849
-3.14159265358979,3.289612
-3.14159265358979,3.881915
-3.14159265358979,4.215997
-3.14159265358979,4.481798
-3.14159265358979,4.655717
-3.14159265358979,4.69076
-3.14159265358979,4.731843
-3.14159265358979,4.847543
-3.14159265358979,4.852886
-3.14159265358979,4.889612
-3.14159265358979,5.048526
-3.14159265358979,5.279786
-3.14159265358979,5.387643
-3.14159265358979,5.590567
-3.14159265358979,5.732732
-3.14159265358979,5.834252
-3.14159265358979,6.384824
-3.14159265358979,6.503017
-3.14159265358979,6.616926
-3.14159265358979,6.704033
-3.14159265358979,6.704203
-3.14159265358979,6.782418
-3.14159265358979,7.051071
-3.14159265358979,7.609883
-3.14159265358979,7.623825
-3.14159265358979,7.784189
-3.14159265358979,7.839533
-3.14159265358979,7.941031
-3.14159265358979,8.051885
-3.14159265358979,8.152091
-3.14159265358979,8.179462
-3.14159265358979,8.192699
-3.14159265358979,8.250131
-3.14159265358979,8.687998
-3.14159265358979,8.803627
-3.14159265358979,8.827727
-3.14159265358979,8.86555
-3.14159265358979,8.903194
-3.14159265358979,8.922039
-3.14159265358979,9.008928
-3.14159265358979,9.234545
-3.14159265358979,9.40173
-3.14159265358979,9.598909
-3.14159265358979,9.785211
-3.14159265358979,9.81257
-3.14159265358979,9.862156
-2.98048533802109,-8.783148
-2.98048533802109,-8.734827
-2.98048533802109,-8.732337
-2.98048533802109,-8.333189
-2.98048533802109,-8.327479
-2.98048533802109,-8.056601
-2.98048533802109,-7.342301
-2.98048533802109,-7.275193
-2.98048533802109,-7.154985
-2.98048533802109,-7.098032
-2.98048533802109,-7.052918
-2.98048533802109,-6.686334
-2.98048533802109,-6.660927
-2.98048533802109,-6.493798
-2.98048533802109,-6.348217
-2.98048533802109,-6.34493
-2.98048533802109,-6.212567
-2.98048533802109,-5.96478
-2.98048533802109,-5.897087
-2.98048533802109,-5.775034
-2.98048533802109,-5.578173
-2.98048533802109,-3.597728
-2.98048533802109,-3.547582
-2.98048533802109,-3.459067
-2.98048533802109,-3.361305
-2.98048533802109,-3.239293
-2.98048533802109,-3.188241
-2.98048533802109,-3.134972
-2.98048533802109,-3.109447
-2.98048533802109,-2.987126
-2.98048533802109,-2.835773
-2.98048533802109,-2.795631
-2.98048533802109,-2.701971
-2.98048533802109,-2.686478
-2.98048533802109,-2.512189
-2.98048533802109,-2.484689
-2.98048533802109,-2.466007
-2.98048533802109,-2.107068
-2.98048533802109,-2.09165
-2.98048533802109,-2.054526
-2.98048533802109,-1.812343
-2.98048533802109,-1.592822
-2.98048533802109,-1.470508
-2.98048533802109,-1.427829
-2.98048533802109,-1.417887
-2.98048533802109,-1.243074
-2.98048533802109,2.613073
-2.98048533802109,2.625682
-2.98048533802109,2.743356
-2.98048533802109,2.74448
-2.98048533802109,2.797713
-2.98048533802109,2.806427
-2.98048533802109,3.085179
-2.98048533802109,3.098563
-2.98048533802109,3.136161
-2.98048533802109,3.143518
-2.98048533802109,3.245056
-2.98048533802109,3.297978
-2.98048533802109,3.875287
-2.98048533802109,4.22904
-2.98048533802109,4.475305
-2.98048533802109,4.658664
-2.98048533802109,4.67462
-2.98048533802109,4.743834
-2.98048533802109,4.840238
-2.98048533802109,4.868344
-2.98048533802109,4.909973
-2.98048533802109,5.062386
-2.98048533802109,5.283036
-2.98048533802109,5.410147
-2.98048533802109,5.615773
-2.98048533802109,5.734529
-2.98048533802109,5.836677
-2.98048533802109,6.394073
-2.98048533802109,6.501135
-2.98048533802109,6.619137
-2.98048533802109,6.678836
-2.98048533802109,6.739938
-2.98048533802109,6.779359
-2.98048533802109,7.042942
-2.98048533802109,7.615055
-2.98048533802109,7.631431
-2.98048533802109,7.778757
-2.98048533802109,7.847237
-2.98048533802109,7.945242
-2.98048533802109,8.05584
-2.98048533802109,8.130246
-2.98048533802109,8.180197
-2.98048533802109,8.217824
-2.98048533802109,8.251194
-2.98048533802109,8.693221
-2.98048533802109,8.802402
-2.98048533802109,8.825756
-2.98048533802109,8.842083
-2.98048533802109,8.927088
-2.98048533802109,8.928567
-2.98048533802109,9.016623
-2.98048533802109,9.223147
-2.98048533802109,9.393522
-2.98048533802109,9.598651
-2.81937802245238,-8.372188
-2.81937802245238,-8.288249
-2.81937802245238,-8.117505
-2.81937802245238,-7.476918
-2.81937802245238,-7.297178
-2.81937802245238,-7.175181
-2.81937802245238,-7.063185
-2.81937802245238,-6.949454
-2.81937802245238,-6.645455
-2.81937802245238,-6.644639
-2.81937802245238,-6.494534
-2.81937802245238,-6.34069
-2.81937802245238,-6.329927
-2.81937802245238,-6.122515
-2.81937802245238,-5.973709
-2.81937802245238,-5.944606
-2.81937802245238,-5.621347
-2.81937802245238,-5.398932
-2.81937802245238,-3.618265
-2.81937802245238,-3.595625
-2.81937802245238,-3.442539
-2.81937802245238,-3.416574
-2.81937802245238,-3.291817
-2.81937802245238,-3.183217
-2.81937802245238,-3.145589
-2.81937802245238,-3.115536
-2.81937802245238,-2.975422
-2.81937802245238,-2.825111
-2.81937802245238,-2.777863
-2.81937802245238,-2.67505
-2.81937802245238,-2.642691
-2.81937802245238,-2.461279
-2.81937802245238,-2.457583
-2.81937802245238,-2.41882
-2.81937802245238,-2.103611
-2.81937802245238,-2.085204
-2.81937802245238,-2.051759
-2.81937802245238,-1.808684
-2.81937802245238,-1.579261
-2.81937802245238,-1.520648
-2.81937802245238,-1.399932
-2.81937802245238,-1.396002
-2.81937802245238,-1.177085
-2.81937802245238,2.626769
-2.81937802245238,2.628956
-2.81937802245238,2.73739
-2.81937802245238,2.750147
-2.81937802245238,2.842185
-2.81937802245238,2.854932
-2.81937802245238,3.095543
-2.81937802245238,3.11193
-2.81937802245238,3.163094
-2.81937802245238,3.180288
-2.81937802245238,3.260411
-2.81937802245238,3.322988
-2.81937802245238,3.85772
-2.81937802245238,4.265034
-2.81937802245238,4.460285
-2.81937802245238,4.647558
-2.81937802245238,4.664468
-2.81937802245238,4.763824
-2.81937802245238,4.815575
-2.81937802245238,4.927388
-2.81937802245238,4.968125
-2.81937802245238,5.093799
-2.81937802245238,5.293435
-2.81937802245238,5.472444
-2.81937802245238,5.686724
-2.81937802245238,5.741411
-2.81937802245238,5.843921
-2.81937802245238,6.422261
-2.81937802245238,6.497299
-2.81937802245238,6.625958
-2.81937802245238,6.666205
-2.81937802245238,6.770047
-2.81937802245238,6.783034
-2.81937802245238,7.01976
-2.81937802245238,7.630336
-2.81937802245238,7.652993
-2.81937802245238,7.76315
-2.81937802245238,7.868756
-2.81937802245238,7.957532
-2.81937802245238,8.063288
-2.81937802245238,8.100641
-2.81937802245238,8.182259
-2.81937802245238,8.25687
-2.81937802245238,8.257914
-2.81937802245238,8.705024
-2.81937802245238,8.801067
-2.81937802245238,8.811929
-2.81937802245238,8.819774
-2.81937802245238,8.945197
-2.81937802245238,8.957591
-2.81937802245238,9.015704
-2.81937802245238,9.177079
-2.81937802245238,9.35174
-2.81937802245238,9.372544
-2.81937802245238,9.553058
-2.81937802245238,9.701438
-2.81937802245238,9.711099
-2.65827070688367,-8.251076
-2.65827070688367,-8.203005
-2.65827070688367,-7.610992
-2.65827070688367,-7.34656
-2.65827070688367,-7.203604
-2.65827070688367,-7.018347
-2.65827070688367,-6.864476
-2.65827070688367,-6.59681
-2.65827070688367,-6.584059
-2.65827070688367,-6.459331
-2.65827070688367,-6.34696
-2.65827070688367,-6.340564
-2.65827070688367,-6.018348
-2.65827070688367,-5.940057
-2.65827070688367,-5.849315
-2.65827070688367,-5.446809
-2.65827070688367,-5.202341
-2.65827070688367,-3.6435
-2.65827070688367,-3.633003
-2.65827070688367,-3.481418
-2.65827070688367,-3.449053
-2.65827070688367,-3.35307
-2.65827070688367,-3.177012
-2.65827070688367,-3.173503
-2.65827070688367,-3.110762
-2.65827070688367,-2.965297
-2.65827070688367,-2.846927
-2.65827070688367,-2.706869
-2.65827070688367,-2.640486
-2.65827070688367,-2.586778
-2.65827070688367,-2.429674
-2.65827070688367,-2.389069
-2.65827070688367,-2.351058
-2.65827070688367,-2.102538
-2.65827070688367,-2.075384
-2.65827070688367,-2.039533
-2.65827070688367,-1.800036
-2.65827070688367,-1.557048
-2.65827070688367,-1.554318
-2.65827070688367,-1.360329
-2.65827070688367,-1.353909
-2.65827070688367,-1.106523
-2.65827070688367,2.640684
