-3.1416    2.1492
-3.1416    2.1732
-3.1416    2.1952
-3.1416    2.1972
-3.1416    2.2082
-2.9805    2.1724
-2.9805    2.1866
-2.9805    2.1995
-2.9805    2.2057
-2.9805    2.2196
-2.8194    2.1812
-2.8194    2.2118
-2.8194    2.2163
-2.8194    2.221
-2.6583    2.1985
-2.6583    2.232
-2.6583    2.2377
-2.4972    2.2278
-0.88609    2.2176
-0.72498    2.0931
-0.56388    1.9816
-0.40277    1.8895
-0.24166    1.8231
-0.080554    1.7882
0.080554    1.7882
0.24166    1.8231
0.40277    1.8895
0.56388    1.9816
0.72498    2.0931
0.88609    2.2175
2.3361    2.1827
2.4972    2.1472
2.4972    2.2341
2.6583    2.1299
2.6583    2.1992
2.6583    2.2321
2.6583    2.2381
2.8194    2.1249
2.8194    2.1816
2.8194    2.2119
2.8194    2.2174
2.9805    2.13
2.9805    2.1751
2.9805    2.1994
2.9805    2.2041
2.9805    2.2169
3.1416    2.1492
3.1416    2.1732
3.1416    2.1952
3.1416    2.1972
3.1416    2.2082
